city,state,cost_of_living,cost_of_living_without_rent,Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,tech_hub
San Francisco, CA,106.29,97.84,115.36,107.52,91.06,92.96,1
New York, NY,100,100,100,100,100,100,0
Brooklyn, NY,85.33,93.79,76.24,92.73,100.58,87.04,0
Berkeley, CA,83.42,87.82,78.69,97.88,78.29,115.84,0
Boston, MA,83.03,87.05,78.72,88.99,86.2,101.35,1
Washington, DC,82.95,91.94,73.3,92.74,85,120.62,1
Oakland, CA,82.44,85.11,79.57,88.65,81.38,97.94,0
San Jose, CA,82.36,82.87,81.81,85.4,83.12,134.82,1
Honolulu, HI,79.04,94.15,62.82,104.69,82.86,103.08,0
Rockville, MD,78.84,92.66,64,87.76,74.74,130.79,0
Bellevue, WA,78.15,88.85,66.67,88.43,80.99,73.46,0
Seattle, WA,76.64,88.04,64.41,89.85,83.22,144.6,1
Arlington, VA,76.01,89.2,61.85,88.51,82.63,120.53,0
Los Angeles, CA,75.77,82.3,68.75,82.73,82.48,109.01,0
Santa Barbara, CA,75.45,79.17,71.45,76.47,87.43,134.38,0
Irvine, CA,75.3,83.73,66.26,89.49,76.5,139.48,0
Miami, FL,75.01,86.01,63.2,87.37,95.81,97.81,0
Santa Rosa, CA,74.75,90.23,58.13,92.05,78.34,106.77,0
Jersey City, NJ,73.2,79.91,66,79.5,85.95,130.99,0
Queens, NY,73.04,80.77,64.73,74.39,87.27,113.4,0
San Diego, CA,69.73,77.01,61.91,75.09,82.09,142.72,1
Chicago, IL,68.85,80.16,56.71,79.14,77.99,119.17,0
Anchorage, AK,68.53,94.99,40.12,101.18,84.55,124.92,0
Boulder, CO,68.5,82.19,53.8,86.22,74.92,143.02,1
Long Beach, CA,67.01,78.23,54.98,82.77,76.98,127.25,0
Charleston, SC,66.8,86.19,45.99,98.41,71.87,115.41,0
New Haven, CT,66.48,84.13,47.53,92.86,86.18,127.41,0
Philadelphia, PA,66.4,83.46,48.09,82.24,79.37,116.06,0
Denver, CO,66.07,77.31,54,77.48,79.43,130.1,1
Portland, OR,65.56,78.45,51.72,79.56,68.4,125.57,0
Fort Lauderdale, FL,65.11,77.67,51.63,79.05,77.85,104.35,0
Minneapolis, MN,64.19,81.46,45.65,87.48,75.88,131.08,0
Bloomington, IN,63.93,92.14,33.64,112.83,75.43,96.92,0
Norfolk, VA,63.14,81.36,43.59,90.06,81.31,64.42,0
Hartford, CT,62.19,80.86,42.15,78.41,86.26,101.57,0
Portland, ME,61.89,81.6,40.73,86.96,88.58,113.69,0
Sacramento, CA,61.67,78.75,43.34,80.02,74.2,135.14,0
