iter	RMSE
0	2540.954387
1	2347.784375
2	2176.884787
3	2028.461582
4	1899.970466
5	1791.441108
6	1690.729063
7	1605.244667
8	1528.998451
9	1464.347305
10	1409.850578
11	1364.122823
12	1319.240202
13	1283.296303
14	1253.808449
15	1227.39827
16	1203.995285
17	1187.013418
18	1171.026021
19	1157.45579
20	1145.113999
21	1135.691671
22	1127.339219
23	1120.39715
24	1113.685803
25	1108.008407
26	1102.725467
27	1097.77202
28	1094.117307
29	1090.977683
30	1088.429313
31	1085.349015
32	1083.521866
33	1082.021079
34	1080.542941
35	1079.675166
36	1078.75661
37	1077.707621
38	1076.393348
39	1075.293991
40	1074.884961
41	1074.607198
42	1074.160876
43	1073.37808
44	1072.529101
45	1072.365739
46	1072.031658
47	1071.691447
48	1071.087927
49	1070.561668
