iter	Passed	Remaining
0	79	3894
1	107	2577
2	132	2074
3	154	1782
4	179	1614
5	198	1455
6	224	1376
7	249	1311
8	270	1233
9	291	1166
10	313	1110
11	331	1050
12	353	1004
13	374	962
14	393	918
15	418	888
16	441	856
17	463	823
18	484	790
19	505	757
20	525	725
21	545	694
22	567	666
23	592	641
24	613	613
25	636	587
26	663	565
27	709	557
28	748	542
29	775	516
30	796	488
31	824	463
32	852	439
33	875	412
34	899	385
35	915	356
36	940	330
37	964	304
38	988	278
39	1010	252
40	1035	227
41	1060	202
42	1080	175
43	1098	149
44	1117	124
45	1141	99
46	1157	73
47	1171	48
48	1190	24
49	1221	0
