Actual,Predicted,Mean Sqaured,,
3.218875825,3.0254915,0.037397497,,
1.098612289,1.0201187,0.006161243,,
2.890371758,3.1020215,0.044795613,,
2.995732274,2.9562495,0.001558889,,
4.605170186,4.5576205,0.002260973,,
1.945910149,2.0689652,0.015142546,,
3.044522438,3.7895997,0.555140127,,
2.63905733,2.7690296,0.016892791,,
1.098612289,0.7552527,0.117895807,,
5.393627546,5.396234,6.7936E-06,,
0.693147181,0.8181079,0.015615181,,
1.098612289,1.2463561,0.021828234,,
1.945910149,1.6303341,0.099588243,,
2.48490665,2.7850466,0.09008399,,
2.302585093,2.9830418,0.46302133,,
2.890371758,2.3115082,0.335083019,,
0,0.110227734,0.012150153,,
4.709530201,4.445154,0.069894776,,
3.951243719,4.0701847,0.014146957,,
2.079441542,2.0247269,0.002993692,,
2.397895273,2.4977756,0.00997608,,
3.828641396,3.5097933,0.101664109,,
3.433987204,3.339555,0.008917441,,
4.477336814,4.439804,0.001408712,,
1.791759469,2.1114738,0.102217253,,
2.772588722,2.718333,0.002943683,,
4.110873864,4.029339,0.006647934,,
2.63905733,2.8018556,0.026503277,,
3.951243719,3.7095397,0.058420833,,
1.945910149,1.9425524,1.12745E-05,,
3.912023005,3.7188983,0.037297152,,
2.079441542,2.4162717,0.113454556,,
4.812184355,5.031198,0.047966977,,
0.693147181,1.0398467,0.120200557,,
5.541263545,5.5510583,9.59372E-05,,
1.791759469,2.6505277,0.737482874,,
4.406719247,4.4613996,0.002989941,,
0,0.37866876,0.14339003,,
4.394449155,4.329546,0.004212419,,
0,-0.023850858,0.000568863,,
1.098612289,0.9673105,0.01724016,,
2.302585093,1.9416819,0.130251115,,
2.079441542,2.1610181,0.006654735,,
5.398162702,5.2794666,0.014088765,,
1.945910149,1.6354504,0.096385256,,
3.850147602,3.615387,0.05511254,,
3.610917913,3.7780406,0.027929993,,
0.693147181,1.6041534,0.829932332,,
5.541263545,5.420586,0.01456307,,
2.708050201,2.8505654,0.020310582,,
0,1.2440841,1.547745248,,
0.693147181,0.8486048,0.024167071,,
1.386294361,1.2602981,0.015875058,,
3.891820298,3.762979,0.01660008,,
2.63905733,2.3680987,0.073418579,,
3.465735903,3.1254938,0.115764689,,
2.48490665,2.6820378,0.03886069,,
3.465735903,4.028194,0.316359111,,
5.739792912,5.7295523,0.00010487,,
2.995732274,3.307899,0.097448065,,
