Actual,Predicted,Mean Squared,,
5.424950017,5.3682327,0.003216854,,
2.833213344,2.6101608,0.049752437,,
4.510859507,4.482705,0.000792676,,
4.844187086,4.6975894,0.021490882,,
6.632001777,6.575831,0.003155156,,
3.688879454,3.7461376,0.003278495,,
5.283203729,5.3177023,0.001190151,,
3.33220451,3.670177,0.114225404,,
1.791759469,1.6916488,0.010022146,,
5.755742214,5.7289443,0.000718128,,
3.044522438,3.2727268,0.052077231,,
5.631211782,5.582944,0.002329779,,
5.613128106,5.4427767,0.029019602,,
4.852030264,4.897135,0.002034437,,
4.317488114,4.951469,0.401931764,,
3.891820298,4.0327406,0.019858531,,
2.833213344,2.8173754,0.00025084,,
5.262690189,5.357925,0.009069669,,
4.709530201,4.616587,0.008638439,,
5.411646052,5.3408504,0.005012024,,
6.481577129,6.4978657,0.000265318,,
6.070737728,6.060366,0.000107573,,
6.695798917,6.64683,0.002397955,,
5.241747015,5.3645725,0.0150861,,
4.787491743,4.592955,0.037844544,,
3.496507561,3.9086628,0.169871941,,
5.062595033,5.0538325,7.6782E-05,,
4.779123493,4.8141003,0.001223377,,
4.955827058,4.794037,0.026176023,,
3.912023005,3.8688772,0.001861561,,
4.905274778,4.6806593,0.050452113,,
3.091042453,3.153433,0.00389258,,
5.429345629,5.369242,0.003612446,,
4.317488114,4.168785,0.022112616,,
6.08221891,6.0215936,0.003675428,,
3.931825633,4.2817354,0.122436845,,
4.624972813,4.833732,0.043580398,,
3.17805383,3.1029835,0.005635554,,
5.361292166,5.21227,0.022207606,,
0.693147181,0.92603326,0.054235926,,
3.496507561,3.4251668,0.005089504,,
4.96284463,4.978952,0.000259447,,
5.147494477,4.9841805,0.026671455,,
6.163314804,5.9014177,0.068590093,,
2.197224577,2.1505272,0.002180645,,
4.430816799,4.3642654,0.004429089,,
5.455321115,5.3156643,0.019504026,,
5.049856007,5.3409286,0.084723254,,
5.916202063,5.790432,0.015818109,,
3.737669618,3.7261195,0.000133405,,
3.784189634,3.7345474,0.002464351,,
1.609437912,1.7478123,0.019147471,,
4.48863637,4.550633,0.003843582,,
5.056245805,4.977716,0.00616693,,
3.891820298,3.7717032,0.014428117,,
4.605170186,4.499074,0.011256401,,
5.135798437,5.276673,0.019845642,,
5.147494477,5.618244,0.221605114,,
5.993961427,6.0017905,6.12944E-05,,
5.472270674,5.739462,0.071391205,,
2.079441542,1.7135727,0.133860009,,
4.290459441,4.175396,0.013239595,,
4.094344562,4.075142,0.000368738,,
4.700480366,4.5487595,0.023019221,,
5.433722004,5.3062797,0.016241541,,
2.890371758,2.9621959,0.005158707,,
5.003946306,5.1545153,0.022671022,,
1.945910149,2.049892,0.010812225,,
3.295836866,3.131744,0.026926469,,
4.304065093,4.776376,0.223077593,,
4.615120517,4.5424094,0.005286907,,
5.513428746,5.5070095,4.12067E-05,,
4.521788577,4.417897,0.01079346,,
5.683579767,5.414805,0.072239876,,
1.945910149,1.935201,0.000114686,,
4.852030264,4.954647,0.010530195,,
4.564348191,4.6747813,0.012195471,,
5.407171771,5.396382,0.000116419,,
5.950642553,5.8368397,0.012951089,,
2.833213344,2.6752133,0.024964014,,
4.615120517,4.4912167,0.015352156,,
5.129898715,4.9620667,0.028167585,,
3.688879454,3.6903358,2.12094E-06,,
2.079441542,2.0600708,0.000375226,,
4.382026635,4.5482984,0.0276463,,
5.176149733,5.1601706,0.000255333,,
2.833213344,2.8424091,8.45619E-05,,
4.990432587,5.09135,0.010184324,,
5.379897354,5.4059534,0.000678918,,
5.913503006,5.7731004,0.019712892,,
2.833213344,2.6615303,0.029475068,,
5.398162702,5.4717917,0.005421229,,
3.135494216,3.3366516,0.040464293,,
5.826000107,5.7438965,0.006741002,,
3.17805383,3.0470257,0.017168371,,
1.386294361,1.5123096,0.01587984,,
2.48490665,2.3946278,0.008150271,,
4.820281566,4.773313,0.002206046,,
5.198497031,5.2367897,0.001466328,,
0.693147181,0.82272136,0.016789468,,
5.513428746,5.541098,0.000765588,,
4.727387819,4.539957,0.035130312,,
3.761200116,3.686082,0.005642731,,
5.204006687,5.055955,0.021919302,,
6.428105273,6.327687,0.010083829,,
5.347107531,5.58237,0.055348429,,
5.926926026,5.784588,0.020260114,,
4.48863637,4.7550793,0.070991835,,
5.455321115,5.471264,0.000254176,,
6.148468296,6.080145,0.004668073,,
4.859812404,4.961229,0.010285326,,
5.192956851,5.209319,0.00026772,,
4.219507705,3.9883215,0.053447061,,
4.65396035,4.834724,0.032675497,,
3.526360525,3.7238226,0.038991271,,
4.382026635,4.1823854,0.039856623,,
6.025865974,5.951952,0.005463276,,
2.708050201,2.9018793,0.03756972,,
2.995732274,2.9697003,0.000677664,,
3.258096538,3.5464108,0.083125114,,
4.127134385,4.0908337,0.00131774,,
3.218875825,2.811511,0.165946101,,
5.303304908,5.1740303,0.016711924,,
3.091042453,3.0720575,0.000360428,,
4.9698133,4.8871083,0.006840117,,
5.509388337,5.6762786,0.02785236,,
1.386294361,1.1856351,0.040264139,,
5.288267031,5.2874413,6.81831E-07,,
5.187385806,5.3618617,0.030441838,,
3.258096538,3.4056327,0.021766919,,
3.80666249,3.7470098,0.003558443,,
1.791759469,1.4617529,0.108904336,,
1.791759469,1.645015,0.021533939,,
4.17438727,4.446391,0.073986029,,
5.267858159,5.2186966,0.002416859,,
2.708050201,1.9906238,0.514700641,,
1.945910149,1.5882658,0.12790948,,
4.343805422,4.512216,0.028362123,,
6.688354714,6.7450113,0.003209969,,
2.772588722,2.9383593,0.027479884,,
2.302585093,2.6294272,0.106825763,,
3.465735903,3.261072,0.041887313,,
5.669880923,5.6533475,0.000273354,,
4.844187086,4.819116,0.000628559,,
3.135494216,3.1801577,0.001994827,,
5.476463552,5.349482,0.016124315,,
4.110873864,4.1887074,0.006058059,,
4.615120517,4.588072,0.000731622,,
4.564348191,4.500426,0.004086047,,
4.672828834,4.61849,0.002952709,,
3.526360525,3.3405194,0.034536924,,
1.791759469,1.7464821,0.00205004,,
2.397895273,2.325545,0.005234562,,
5.631211782,5.583855,0.002242665,,
5.65248918,5.6058645,0.002173861,,
2.197224577,2.4755137,0.077444836,,
3.891820298,4.048391,0.024514385,,
3.401197382,3.3564749,0.0020001,,
5.293304825,5.458948,0.027437662,,
4.304065093,4.4330916,0.016647839,,
5.068904202,5.0641365,2.2731E-05,,
2.48490665,2.339634,0.021104143,,
2.708050201,2.8398218,0.017363754,,
5.33753808,5.4150696,0.006011137,,
1.098612289,1.2903739,0.036772516,,
4.430816799,4.764969,0.111657694,,
5.356586275,5.314337,0.001785001,,
1.791759469,1.7683454,0.000548219,,
3.295836866,2.9014633,0.15553051,,
4.762173935,4.3275194,0.188924565,,
6.003887067,6.0141177,0.000104666,,
5.451038454,5.5984745,0.021737388,,
5.552959585,5.5108175,0.001775955,,
4.634728988,4.6431723,7.12895E-05,,
5.749392986,5.84604,0.009340645,,
5.937536205,5.9622583,0.000611182,,
5.313205979,5.210805,0.010485961,,
5.111987788,5.1791935,0.004516608,,
4.477336814,4.2099743,0.071482714,,
5.752572639,5.6978474,0.002994852,,
2.302585093,2.2779422,0.000607272,,
4.430816799,4.602886,0.02960781,,
5.560681631,5.4145465,0.021355477,,
5.204006687,5.2905927,0.007497138,,
4.356708827,4.1147394,0.058549203,,
5.648974238,5.8007674,0.023041164,,
1.791759469,2.458753,0.44488037,,
5.455321115,5.538,0.006835798,,
4.762173935,4.8595552,0.009483111,,
4.007333185,3.759946,0.061200419,,
5.533389489,5.516906,0.000271705,,
5.771441123,5.6433053,0.016418789,,
3.091042453,2.466803,0.389674895,,
5.996452089,5.9260635,0.004954553,,
4.941642423,4.887572,0.002923611,,
1.098612289,1.3645518,0.070723824,,
3.931825633,4.3746443,0.196088372,,
5.799092654,5.889613,0.008193933,,
5.347107531,5.4092994,0.003867829,,
2.833213344,2.427806,0.164355115,,
3.218875825,3.3866808,0.02815851,,
4.812184355,4.727225,0.007218092,,
2.302585093,2.349728,0.002222454,,
5.831882477,5.6956153,0.018568744,,
5.872117789,5.8812494,8.33863E-05,,
6.428105273,6.39836,0.000884781,,
3.135494216,2.881759,0.06438156,,
1.386294361,1.8188614,0.187114243,,
5.303304908,5.4973125,0.037638946,,
4.875197323,4.7874975,0.007691259,,
4.17438727,4.109534,0.004205947,,
4.143134726,4.3830333,0.057551326,,
5.298317367,5.475224,0.031295957,,
4.007333185,4.276641,0.072526699,,
